	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	
Australia	  486.8743	 89.229436	  191.1225	  804.1886	 497.69394	 102.05305	 59.521999	   835.414	 490.70883	 85.169487	  191.1225	  804.1886	 502.85966	 105.43862	 143.19659	 809.24762	 487.16594	 94.617405	   191.942	 785.89557	 498.79545	 102.23804	 59.521999	   835.414	
Austria	 497.46953	 87.573371	  182.8313	 758.57501	 485.78606	 95.553938	  174.9857	 757.61572	 502.00477	 86.433175	  201.1694	  737.6936	  487.1371	  95.68837	   194.356	   739.021	 490.87702	  88.17606	 217.38611	 753.51257	  484.0255	 96.936534	  209.6467	 757.61572	
Belgium	 505.35164	 91.338256	  198.9232	 793.25208	 493.45853	 96.513561	 133.64191	 765.45264	 510.77211	 89.415861	  250.6364	 759.10321	 495.45325	 98.716314	  177.6273	 750.96259	 494.01554	 92.320353	  246.2917	  780.6037	  481.7429	 96.176652	 146.04041	 765.45264	
Canada	 497.16104	 84.037815	 169.15869	  814.8772	 503.96105	 95.534599	 85.656197	 890.17389	 503.51828	 82.821653	  201.2988	 800.31152	 508.64481	 98.217357	 156.78391	 792.26343	 484.52203	 88.224836	 169.15869	  814.8772	 490.52696	  99.95809	 85.656197	 890.17389	
Chile	 435.28687	 80.522335	  136.0116	 700.85858	 470.12612	 87.312547	 87.235802	 741.07892	 434.62355	   80.8862	  136.0116	 700.85858	 469.37296	 90.179876	  185.0321	 726.44397	 428.55602	  76.04837	 200.66071	  670.2915	 465.12644	 87.609037	 87.235802	 741.07892	
Czech Republic	 505.48074	 90.425875	  217.7061	 788.09869	 501.75404	 96.275848	  140.8316	 794.48212	 515.71487	 89.721995	 218.10629	  762.3811	 506.85567	 97.247466	  175.2226	 761.38623	 499.37027	 92.824783	  234.0668	 788.09869	 500.25072	 94.684064	  171.2182	 794.48212	
Denmark	 491.93595	 79.141698	  230.5206	 738.60431	  484.5954	 88.584211	  182.2879	 745.93848	 497.26905	 77.829135	  236.0975	 738.60431	 488.07813	 91.180839	  188.6991	 745.93848	  478.7986	 79.913356	  230.5206	 729.24847	 477.21655	 88.607226	  182.2879	 742.44592	
Estonia	 518.64949	 76.855382	 196.19279	 781.42877	  518.9948	 85.281202	  216.3111	 809.95203	 523.47635	 74.624971	 196.19279	 781.42877	 523.27462	 89.660742	  220.4633	 809.95203	 512.71336	 80.302278	  258.0723	 760.56921	 513.84343	 84.270295	  216.3111	  774.4679	
Finland	   493.549	 83.738377	 201.86949	 756.95752	 502.17822	 99.450608	 72.858902	 791.42993	 507.50912	 75.702468	  223.8933	 733.20538	 520.32701	 96.133371	 150.22459	 791.42993	 475.32395	 88.440651	  241.7762	 756.95752	 477.53438	 101.82848	 140.50369	 758.63727	
France	 483.43406	 91.472287	 162.56281	  770.7547	 484.19795	 104.77127	   158.002	 793.42633	 487.01328	 91.864482	  170.6082	 733.42639	 483.79004	 102.58829	 163.91879	 793.42633	 468.24401	 90.891277	 223.42911	 729.62671	 467.01198	 103.34421	   158.002	 774.48987	
